1,Bahrain International Circuit,Bahrain,Sakhir,5.412,+03.00
2,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,6.175,+03.00
3,Albert Park Circuit,Australia,Melbourne,5.303,+11.00
4,Circuit de Barcelona-Catalunya,Spain,Montmeló,4.675,+02.00
5,Circuit de Monaco,Monaco,Monte Carlo,3.337,+02.00
6,Baku City Circuit,Azerbaijan,Baku,6.003,+04.00
7,Circuit Gilles Villeneuve,Canada,Montreal,4.361,-04.00
8,Red Bull Ring,Austria,Spielberg,4.318,+02.00
9,Silverstone Circuit,UK,Silverstone,5.891,+01.00
10,Hungaroring,Hungary,Mogyoród,4.381,+02.00
11,Circuit de Spa-Francorchamps,Belgium,Stavelot,7.004,+02.00
12,Circuit Zandvoort,Netherlands,Zandvoort,4.259,+02.00
13,Monza Circuit,Italy,Monza,5.793,+02.00
14,Marina Bay Street Circuit,Singapore,Singapore,5.063,+08.00
15,Suzuka International Racing Course,Japan,Suzuka,5.807,+09.00
16,Lusail International Circuit,Qatar,Lusail,5.38,+03.00
17,Circuit of the Americas,USA,Austin,5.513,-05.00
18,Autódromo Hermanos Rodríguez,Mexico,Mexico City,4.304,-06.00
19,Interlagos Circuit,Brazil,São Paulo,4.309,-03.00
20,Las Vegas Street Circuit,USA,Las Vegas,6.12,-08.00
21,Yas Marina Circuit,UAE,Abu Dhabi,5.554,+04.00